id_simulacion,longitud_pasos,probabilidad_trayectoria,secuencia_nodos,secuencia_aristas
5506,5,0.04210526315789474,HDB_20 -> HDB_19 -> HDB_18 -> HDB_19 -> HDB_18 -> HDB_2,HDB_20->HDB_19 | HDB_19->HDB_18 | HDB_18->HDB_19 | HDB_19->HDB_18 | HDB_18->HDB_2
5507,2,0.125,HDB_17 -> HDB_18 -> HDB_2,HDB_17->HDB_18 | HDB_18->HDB_2
5508,5,0.04387811634349034,HDB_20 -> HDB_14 -> HDB_20 -> HDB_16 -> HDB_15 -> HDB_4,HDB_20->HDB_14 | HDB_14->HDB_20 | HDB_20->HDB_16 | HDB_16->HDB_15 | HDB_15->HDB_4
5509,1,0.4444444444444444,HDB_7 -> HDB_4,HDB_7->HDB_4
5510,6,0.0018894882635952783,HDB_11 -> HDB_20 -> HDB_14 -> HDB_20 -> HDB_14 -> HDB_20 -> HDB_9,HDB_11->HDB_20 | HDB_20->HDB_14 | HDB_14->HDB_20 | HDB_20->HDB_14 | HDB_14->HDB_20 | HDB_20->HDB_9
5511,6,0.04210526315789474,HDB_12 -> HDB_20 -> HDB_19 -> HDB_18 -> HDB_19 -> HDB_18 -> HDB_2,HDB_12->HDB_20 | HDB_20->HDB_19 | HDB_19->HDB_18 | HDB_18->HDB_19 | HDB_19->HDB_18 | HDB_18->HDB_2
5512,1,0.052631578947368425,HDB_20 -> HDB_9,HDB_20->HDB_9
5513,8,0.004875346260387814,HDB_20 -> HDB_13 -> HDB_20 -> HDB_19 -> HDB_18 -> HDB_19 -> HDB_18 -> HDB_19 -> HDB_18,HDB_20->HDB_13 | HDB_13->HDB_20 | HDB_20->HDB_19 | HDB_19->HDB_18 | HDB_18->HDB_19 | HDB_19->HDB_18 | HDB_18->HDB_19 | HDB_19->HDB_18
5514,5,0.04387811634349034,HDB_20 -> HDB_14 -> HDB_20 -> HDB_16 -> HDB_15 -> HDB_4,HDB_20->HDB_14 | HDB_14->HDB_20 | HDB_20->HDB_16 | HDB_16->HDB_15 | HDB_15->HDB_4
5515,7,0.0019736842105263167,HDB_20 -> HDB_17 -> HDB_18 -> HDB_19 -> HDB_18 -> HDB_19 -> HDB_18 -> HDB_2,HDB_20->HDB_17 | HDB_17->HDB_18 | HDB_18->HDB_19 | HDB_19->HDB_18 | HDB_18->HDB_19 | HDB_19->HDB_18 | HDB_18->HDB_2
5516,6,0.04387811634349034,HDB_11 -> HDB_20 -> HDB_14 -> HDB_20 -> HDB_16 -> HDB_15 -> HDB_4,HDB_11->HDB_20 | HDB_20->HDB_14 | HDB_14->HDB_20 | HDB_20->HDB_16 | HDB_16->HDB_15 | HDB_15->HDB_4
5517,2,1.0,HDB_16 -> HDB_15 -> HDB_4,HDB_16->HDB_15 | HDB_15->HDB_4
5518,5,0.04210526315789474,HDB_20 -> HDB_19 -> HDB_18 -> HDB_19 -> HDB_18 -> HDB_2,HDB_20->HDB_19 | HDB_19->HDB_18 | HDB_18->HDB_19 | HDB_19->HDB_18 | HDB_18->HDB_2
5519,3,0.23157894736842113,HDB_20 -> HDB_16 -> HDB_15 -> HDB_4,HDB_20->HDB_16 | HDB_16->HDB_15 | HDB_15->HDB_4
5520,2,1.0,HDB_16 -> HDB_15 -> HDB_4,HDB_16->HDB_15 | HDB_15->HDB_4
5521,4,0.23157894736842113,HDB_13 -> HDB_20 -> HDB_16 -> HDB_15 -> HDB_4,HDB_13->HDB_20 | HDB_20->HDB_16 | HDB_16->HDB_15 | HDB_15->HDB_4
5522,2,1.0,HDB_16 -> HDB_15 -> HDB_4,HDB_16->HDB_15 | HDB_15->HDB_4
5523,3,0.23157894736842113,HDB_20 -> HDB_16 -> HDB_15 -> HDB_4,HDB_20->HDB_16 | HDB_16->HDB_15 | HDB_15->HDB_4
5524,3,0.0473684210526316,HDB_13 -> HDB_20 -> HDB_17 -> HDB_9,HDB_13->HDB_20 | HDB_20->HDB_17 | HDB_17->HDB_9
5525,2,1.0,HDB_16 -> HDB_15 -> HDB_4,HDB_16->HDB_15 | HDB_15->HDB_4
5526,6,0.125,HDB_19 -> HDB_18 -> HDB_19 -> HDB_18 -> HDB_19 -> HDB_18 -> HDB_2,HDB_19->HDB_18 | HDB_18->HDB_19 | HDB_19->HDB_18 | HDB_18->HDB_19 | HDB_19->HDB_18 | HDB_18->HDB_2
5527,3,0.23157894736842113,HDB_20 -> HDB_16 -> HDB_15 -> HDB_4,HDB_20->HDB_16 | HDB_16->HDB_15 | HDB_15->HDB_4
5528,1,0.08421052631578944,HDB_20 -> HDB_10,HDB_20->HDB_10
5529,1,0.4444444444444444,HDB_7 -> HDB_4,HDB_7->HDB_4
5530,1,0.4444444444444444,HDB_7 -> HDB_4,HDB_7->HDB_4
5531,1,0.75,HDB_17 -> HDB_9,HDB_17->HDB_9
5532,2,1.0,HDB_16 -> HDB_15 -> HDB_4,HDB_16->HDB_15 | HDB_15->HDB_4
